Dota 2, Counter-Strike Global Offensive, Team Fortress 2, Counter-Strike, Sid Meier's Civilization V, Counter-Strike Source, The Elder Scrolls V Skyrim, Garry's Mod, Call of Duty Modern Warfare 2 - Multiplayer, Left 4 Dead 2, Terraria, Football Manager 2013, Football Manager 2012, Warframe, Football Manager 2015, Football Manager 2014, Arma 3, Grand Theft Auto V, Borderlands 2, Empire Total War
7203603,MountBladeWarband,DarkSoulsPreparetoDieEdition,RedFactionGuerrillaSteamEdition,7DaystoDie,DARKSOULSII,FootballManager2012,Magicka,PathofExile,Starbound,Outlast,InsurgencyModernInfantryCombat,TheWalkingDeadSeasonTwo,Dungeonland,DragonAgeOriginsUltimateEdition,Borderlands2,Trine,WolfensteinTheNewOrder,Tropico3SteamSpecialEdition,ARKSurvivalEvolved,MiddleearthShadowofMordor
7249363,Left4Dead,MountBladeWarband,MedievalIITotalWar,TeamFortress2,ChivalryMedievalWarfare,EmpireTotalWar,APBReloaded,Warhammer40000DawnofWarIIChaosRising,TotalWarROMEIIEmperorEdition,CallofDutyModernWarfare2,ZombiePanicSource,Besiege,RIFT,WormsReloaded,OrcsMustDie,Warhammer40000DawnofWarIIRetribution,PatchtestingforChivalry,ArmaColdWarAssault,Magicka,Crysis2MaximumEdition
7273540,HalfLifeDeathmatchSource,AlanWake,CallofDutyBlackOps,Ricochet,Darksiders,MafiaII,DayofDefeatSource,GrandTheftAutoV,CompanyofHeroes,InfestationSurvivorStories,FistfulofFrags,CallofDutyModernWarfare3,HowtoSurvive,CallofDutyBlackOpsIIMultiplayer,CompanyofHeroesOpposingFronts,BatmanArkhamCityGOTY,HotlineMiami,SakuraClicker,FreeStyle2StreetBasketball,Outlast
7418489,CounterStrikeGlobalOffensive,KillingFloor,CallofDutyBlackOpsMultiplayer,Dota2,CounterStrikeConditionZero,AmericasArmyProvingGrounds,Arma3,Rust,Left4Dead,H1Z1,HalfLife2,SeriousSam3BFE,CastleCrashers,GrandTheftAutoV,Hammerwatch,AgeofEmpiresIIICompleteCollection,AceofSpades,Ricochet,Portal2,RocketLeague
7431946,WormsReloaded,Borderlands,HalfLifeDeathmatchSource,Psychonauts,WarThunder,Fallout4,CallofDutyModernWarfare2,APBReloaded,JustCause2,Spore,TheElderScrollsIVOblivion,Crysis2MaximumEdition,DustAnElysianTail,JustCause2MultiplayerMod,SurgeonSimulator,TribesAscend,HalfLife2EpisodeOne,ChivalryMedievalWarfare,StarWarsJediKnightJediAcademy,CallofDuty4ModernWarfare
7440594,TheElderScrollsIVOblivion,WormsReloaded,APBReloaded,AliensvsPredator,SpiralKnights,RisingStormRedOrchestra2Multiplayer,TheWitcher2AssassinsofKingsEnhancedEdition,MiddleearthShadowofMordor,Left4Dead,Left4Dead2,AssassinsCreedIII,Trine,MassEffect,StarWarsBattlefrontII,BatmanArkhamCityGOTY,Psychonauts,StarWarsKnightsoftheOldRepublic,FarCry2,TheWitcherEnhancedEdition,Awesomenauts
7736384,Ricochet,Dota2,CallofDutyBlackOpsIIMultiplayer,H1Z1,InfestationSurvivorStories,Rust,AmericasArmyProvingGrounds,PathofExile,DontStarve,AgeofEmpiresIIICompleteCollection,GrandTheftAutoV,CastleCrashers,AceofSpades,CounterStrikeNexonZombies,FreeStyle2StreetBasketball,Portal2,TheExpendabros,EuroTruckSimulator2,PAYDAY2,Strife
7907686,7DaystoDie,Sanctum,KerbalSpaceProgram,DarkSoulsPreparetoDieEdition,WaroftheRoses,Warhammer40000DawnofWarIIChaosRising,DARKSOULSII,WormsReloaded,DragonAgeOriginsUltimateEdition,TheWitcher2AssassinsofKingsEnhancedEdition,Neverwinter,Starbound,FarCry3,RedFactionGuerrillaSteamEdition,CallofDutyModernWarfare2,CompanyofHeroes2,FalloutNewVegas,Antichamber,TeamFortressClassic,BioShockInfinite
7955670,Unturned,NoMoreRoominHell,HalfLife2Deathmatch,AlienSwarm,PAYDAY2,Left4Dead,GarrysMod,Magicka,NapoleonTotalWar,NEOTOKYO,ArcheAge,DontStarve,Dota2,PAYDAYTheHeist,AmericasArmyProvingGrounds,KillingFloor,Loadout,MortalKombatKompleteEdition,TeamFortressClassic,CounterStrike
8013465,SpaceEngineers,MountBladeWarband,Left4Dead,APBReloaded,TheBindingofIsaac,DeathmatchClassic,RisingStormRedOrchestra2Multiplayer,Elsword,Insurgency,RocketLeague,Arma3,CompanyofHeroes,AgeofChivalry,FootballManager2012,WarThunder,CallofDutyWorldatWar,BattlefieldBadCompany2,TomClancysGhostReconPhantomsNA,MedievalIITotalWar,MirrorsEdge
8259307,NaturalSelection2,CallofDutyBlackOps,GarrysMod,Unturned,ChivalryMedievalWarfare,ArcheAge,TheBindingofIsaac,Spore,Warframe,NEOTOKYO,Borderlands,StarWarsBattlefrontII,Portal2,DontStarve,Portal,ZombiePanicSource,HalfLife2Deathmatch,Torchlight,Borderlands2,CrysisWars
8542204,KillingFloor,CounterStrikeSource,TotalWarSHOGUN2,DeadIsland,PathofExile,GrandTheftAutoIV,FootballManager2015,Sanctum2,DragonAgeOriginsUltimateEdition,DARKSOULSII,Portal,DungeonDefenders,PAYDAYTheHeist,TeamFortressClassic,AmericasArmyProvingGrounds,Left4Dead2,ArmaColdWarAssault,Left4Dead,InsurgencyModernInfantryCombat,Loadout
8585433,Terraria,ZombiePanicSource,CallofDutyBlackOpsIIZombies,GarrysMod,CompanyofHeroes2,HeroesGenerals,PlantsvsZombiesGameoftheYear,Arma2,StarConflict,CallofDutyModernWarfare2Multiplayer,TheExpendabros,Arma3,TheWitcher3WildHunt,SaintsRowTheThird,H1Z1,Warface,SuperMeatBoy,Spore,RiseofIncarnates,SourceFilmmaker
8763960,Starbound,Hitman2SilentAssassin,Fallout3GameoftheYearEdition,Thief,AgeofEmpiresIIHDEdition,Warhammer40000DawnofWarIIChaosRising,CounterStrikeSource,CallofDutyModernWarfare2,Firefall,Warhammer40000SpaceMarine,HalfLife2EpisodeOne,DeusExHumanRevolutionDirectorsCut,LANoire,MedievalIITotalWar,TERA,Robocraft,TitanQuest,DivinityOriginalSin,TheWitcher2AssassinsofKingsEnhancedEdition,FootballManager2013
8776918,SidMeiersCivilizationV,7DaystoDie,PlanetaryAnnihilation,Besiege,Banished,MountBladeWarband,StarConflict,DungeonDefendersII,Sanctum,Defiance,StrongholdKingdoms,CallofDutyGhosts,Warhammer40000SpaceMarine,BioShock,KerbalSpaceProgram,PrisonArchitect,SuperMeatBoy,TotalWarSHOGUN2,OrcsMustDie,DontStarveTogetherBeta
8784496,TheWitcher2AssassinsofKingsEnhancedEdition,Warhammer40000DawnofWarIIChaosRising,7DaystoDie,Warhammer40000SpaceMarine,Banished,Starbound,LANoire,PlanetaryAnnihilation,OrcsMustDie,RedFactionGuerrillaSteamEdition,CallofDutyModernWarfare3,DarkSoulsPreparetoDieEdition,WolfensteinTheNewOrder,CompanyofHeroesTalesofValor,BrtalLegend,MedievalIITotalWar,StrongholdKingdoms,DeusExHumanRevolutionDirectorsCut,SidMeiersCivilizationV,Dungeonland
8795607,Fallout3GameoftheYearEdition,TheElderScrollsIVOblivion,TheWitcher2AssassinsofKingsEnhancedEdition,WormsReloaded,BioShockInfinite,HalfLife2LostCoast,FootballManager2013,AdVentureCapitalist,InsurgencyModernInfantryCombat,DungeonDefendersII,Defiance,Psychonauts,DeusExHumanRevolutionDirectorsCut,ChivalryMedievalWarfare,DARKSOULSII,FEARPerseusMandate,JustCause2,RedFactionGuerrillaSteamEdition,Tropico3SteamSpecialEdition,Starbound
8949216,7DaystoDie,PlanetSide2,DragonAgeOriginsUltimateEdition,Tropico3SteamSpecialEdition,Tropico4,CommandandConquerRedAlert3Uprising,JustCause2,Besiege,RogueLegacy,GRID2,CompanyofHeroes2,MiddleearthShadowofMordor,Insurgency,DayofDefeatSource,Awesomenauts,Sanctum,DungeonDefendersII,AssassinsCreedII,PatchtestingforChivalry,Trine
9128105,PAYDAYTheHeist,Unturned,GoatSimulator,Borderlands,StarWarsRepublicCommando,PlanetaryAnnihilation,MetroLastLight,Brawlhalla,ARKSurvivalEvolved,Monaco,ZombiePanicSource,CrysisWars,APBReloaded,DontStarveTogetherBeta,BatmanArkhamCityGOTY,RiseofIncarnates,7DaystoDie,StarWarsKnightsoftheOldRepublic,Magicka,StarWarsBattlefrontII
9134079,CallofDutyBlackOpsMultiplayer,CallofDutyModernWarfare3Multiplayer,CallofDutyWorldatWar,CallofDutyAdvancedWarfareMultiplayer,CallofDutyBlackOpsIIMultiplayer,Ricochet,Besiege,HeroesGenerals,CounterStrike,DirtyBomb,H1Z1,Terraria,Portal,CallofDutyGhostsMultiplayer,FreeStyle2StreetBasketball,Warframe,BattlefieldBadCompany2,FalloutNewVegas,GoatSimulator,CallofDutyBlackOps
9180659,TheElderScrollsVSkyrim,HeroesGenerals,TheWitcher2AssassinsofKingsEnhancedEdition,ARKSurvivalEvolved,WarThunder,Arma2OperationArrowhead,Metro2033,Trine2,RIFT,HalfLife2EpisodeOne,TheWitcherEnhancedEdition,JustCause2,MetroLastLight,RiskofRain,BatmanArkhamOrigins,MedievalIITotalWar,BattlefieldBadCompany2,AgeofChivalry,Reus,APBReloaded
9209946,Dota2,CounterStrikeGlobalOffensive,Ricochet,Rust,CallofDutyWorldatWar,PathofExile,GarrysMod,InfestationSurvivorStories,DeathmatchClassic,NapoleonTotalWar,CallofDutyBlackOpsIIMultiplayer,AgeofEmpiresIIICompleteCollection,Portal2,H1Z1,KillingFloorModDefenceAlliance2,KillingFloor,Insurgency,DirtyBomb,CounterStrikeSource,RocketLeague
9245216,JustCause2,Metro2033,CompanyofHeroesNewSteamVersion,TheElderScrollsVSkyrim,TheElderScrollsIVOblivion,MetroLastLight,DeadIslandEpidemic,Dishonored,RealmoftheMadGod,AgeofChivalry,Borderlands,AssassinsCreedIII,HalfLifeDeathmatchSource,MassEffect,ChivalryMedievalWarfare,RAGE,DarksidersII,TheWitcherEnhancedEdition,AmnesiaTheDarkDescent,ZombiePanicSource
9544834,Dota2,CounterStrikeGlobalOffensive,Ricochet,Rust,CallofDutyBlackOpsIIMultiplayer,H1Z1,PathofExile,CounterStrikeSource,InfestationSurvivorStories,PAYDAY2,DontStarve,AmericasArmyProvingGrounds,AgeofEmpiresIIICompleteCollection,AceofSpades,Arma3,GrandTheftAutoV,DirtyBomb,CallofDutyBlackOpsMultiplayer,EuroTruckSimulator2,Portal2
9563573,SidMeiersCivilizationV,NaturalSelection2,ArcheAge,Warhammer40000DawnofWarIIChaosRising,SouthParkTheStickofTruth,ZombiePanicSource,Borderlands,HeroesGenerals,MortalKombatKompleteEdition,DungeonDefendersII,Sanctum,TheElderScrollsVSkyrim,Warhammer40000SpaceMarine,FalloutNewVegas,FEAR3,Psychonauts,ChivalryMedievalWarfare,TombRaider,PAYDAYTheHeist,Fallout4
9740704,CounterStrikeGlobalOffensive,Dota2,Ricochet,RisingStormRedOrchestra2Multiplayer,RocketLeague,DeathmatchClassic,TheForest,CallofDutyWorldatWar,CallofDutyAdvancedWarfareMultiplayer,Left4Dead,CounterStrikeSource,CallofDutyBlackOpsMultiplayer,Insurgency,H1Z1,Firefall,FarCry3,ArmaColdWarAssault,Arma3,TheBindingofIsaac,MountBladeWarband
9823354,JustCause2,LANoire,StarTrekOnline,CallofDutyModernWarfare2,OrcsMustDie,PapersPlease,Tropico3SteamSpecialEdition,PatchtestingforChivalry,MountBladeWarband,DeadIsland,PlanetaryAnnihilation,RIFT,ArmaColdWarAssault,FalloutNewVegas,CompanyofHeroesTalesofValor,TitanQuest,StarWarsEmpireatWarGold,AssassinsCreedII,CommandandConquerRedAlert3Uprising,DeathmatchClassic
9946133,RocketLeague,Arma2OperationArrowhead,TomClancysGhostReconPhantomsNA,Hammerwatch,CallofDutyBlackOpsMultiplayer,TheForest,Rust,CounterStrike,Arma3,KillingFloor,Arma2,CounterStrikeConditionZero,RealmoftheMadGod,AceofSpades,BrickForce,BattlefieldBadCompany2,Insurgency,ARKSurvivalEvolved,HalfLife2,NoMoreRoominHell
10095386,CounterStrikeConditionZero,CounterStrikeGlobalOffensive,Fallout3GameoftheYearEdition,KillingFloor,HalfLife2,Left4Dead,CallofDutyBlackOpsMultiplayer,CounterStrike,CallofDutyModernWarfare2,HalfLife2EpisodeTwo,GarrysMod,RocketLeague,Hammerwatch,Arma3,TheForest,TomClancysGhostReconPhantomsNA,RIFT,TotalWarSHOGUN2,SeriousSam3BFE,Portal2
10144504,MedievalIITotalWar,HalfLife2EpisodeOne,TheWitcher2AssassinsofKingsEnhancedEdition,JustCause2,CallofDutyModernWarfare2,SpaceEngineers,DeusExHumanRevolutionDirectorsCut,MountBladeWarband,Starbound,APBReloaded,Besiege,ChivalryMedievalWarfare,TitanQuest,HalfLife2,WormsReloaded,FarCry3,Tropico3SteamSpecialEdition,StarTrekOnline,TheElderScrollsVSkyrim,TotalWarSHOGUN2
10162301,WarThunder,EmpireTotalWar,ArmaColdWarAssault,DungeonDefenders,ClickerHeroes,PatchtestingforChivalry,CrusaderKingsII,Monaco,PAYDAY2,DayofDefeatSource,AssassinsCreedII,StarTrekOnline,DARKSOULSII,PrisonArchitect,SakuraClicker,RIFT,MountBladeWithFireandSword,TheBindingofIsaacRebirth,KerbalSpaceProgram,StateofDecay
10181060,HalfLife2EpisodeTwo,HalfLife2EpisodeOne,Portal2,CounterStrikeSource,Hammerwatch,NaturalSelection2,TomClancysGhostReconPhantomsEU,H1Z1,Portal,BioShockInfinite,Fallout3GameoftheYearEdition,Nosgoth,TombRaider,EuroTruckSimulator2,LIMBO,DeusExHumanRevolution,MagickaWizardWars,Warframe,FEARExtractionPoint,CallofDutyBlackOps
10216256,MountBladeWarband,MedievalIITotalWar,APBReloaded,SpaceEngineers,Besiege,HalfLife2EpisodeOne,StarWarsKnightsoftheOldRepublic,SidMeiersCivilizationIIIComplete,WormsReloaded,TheElderScrollsIVOblivion,Left4Dead,Elsword,TheWitcher2AssassinsofKingsEnhancedEdition,ZombiePanicSource,WaroftheRoses,JustCause2,AssassinsCreedII,OrcsMustDie,StarTrekOnline,SourceFilmmaker
10218563,RiskofRain,PlanetaryAnnihilation,Sanctum,SidMeiersCivilizationV,RIFT,ARKSurvivalEvolved,Warhammer40000DawnofWarIIRetribution,MountBladeWarband,ArcheAge,Borderlands,Besiege,CitiesSkylines,StrongholdKingdoms,Warhammer40000DawnofWarIIChaosRising,PrisonArchitect,XCOMEnemyUnknown,ClickerHeroes,DarkSoulsPreparetoDieEdition,EndlessSpace,StarWarsBattlefrontII
10253354,CallofDutyModernWarfare2,TheWitcher2AssassinsofKingsEnhancedEdition,Fallout3GameoftheYearEdition,Portal,HalfLifeDeathmatchSource,Nosgoth,TheWitcherEnhancedEdition,Crysis2MaximumEdition,PatchtestingforChivalry,TheElderScrollsIVOblivion,ArmaColdWarAssault,SMITE,FarCry3,BioShock,GoatSimulator,DCUniverseOnline,Metro2033,MedievalIITotalWar,MassEffect,CompanyofHeroesTalesofValor
10302000,MountBladeWarband,ArmaColdWarAssault,TotalWarSHOGUN2,FootballManager2012,WarThunder,Defiance,Arma2OperationArrowheadBetaObsolete,DeadIsland,AlienSwarm,DungeonDefenders,RedFactionGuerrillaSteamEdition,PatchtestingforChivalry,DayZ,TotalWarROMEIIEmperorEdition,LANoire,SpaceEngineers,Arma2OperationArrowhead,PlanetaryAnnihilation,GrandTheftAutoEpisodesfromLibertyCity,Dungeonland
10385370,Starbound,PlanetSide2,TheForest,DungeonDefendersII,FarCry3,7DaystoDie,ARKSurvivalEvolved,Fallout3GameoftheYearEdition,GrandTheftAutoIV,TorchlightII,DeadIsland,CommandandConquerRedAlert3Uprising,BioShock,AceofSpades,GRID2,HalfLife2LostCoast,WolfensteinTheNewOrder,BioShockInfinite,TotalWarSHOGUN2,DarkSoulsPreparetoDieEdition
10450544,Arma2OperationArrowhead,SniperEliteV2,TeamFortressClassic,WormsReloaded,RIFT,TheElderScrollsIVOblivion,ArcheAge,PAYDAYTheHeist,CallofDutyModernWarfare2,MedievalIITotalWar,Overlord,SuperMondayNightCombat,Trove,Warhammer40000DawnofWarII,ZombiePanicSource,FootballManager2013,WormsRevolution,AgeofChivalry,Elsword,JustCause2MultiplayerMod
10478285,Portal2,HalfLife2EpisodeOne,HalfLife2EpisodeTwo,Warframe,Fallout3GameoftheYearEdition,Portal,CounterStrikeSource,CallofDutyBlackOps,NaturalSelection2,CallofDutyModernWarfare2,Trove,TombRaider,XCOMEnemyUnknown,FarCry3,Hammerwatch,BioShockInfinite,TomClancysGhostReconPhantomsEU,FalloutNewVegas,SimCity4Deluxe,DeusExHumanRevolutionDirectorsCut
10599862,DontStarveTogetherBeta,Warhammer40000SpaceMarine,Warhammer40000DawnofWarIIRetribution,UberStrike,ArmaColdWarAssault,PatchtestingforChivalry,OrcsMustDie2,PrisonArchitect,DCUniverseOnline,Warhammer40000DawnofWarIIChaosRising,TheForest,7DaystoDie,PlanetaryAnnihilation,StarTrekOnline,RIFT,RiskofRain,RedFactionGuerrillaSteamEdition,TitanQuest,CounterStrikeConditionZero,AdVentureCapitalist
10856494,CallofDutyBlackOpsMultiplayer,CounterStrikeConditionZero,AmericasArmyProvingGrounds,CounterStrikeGlobalOffensive,KillingFloor,Hammerwatch,Rust,CounterStrike,CastleCrashers,Arma3,HalfLife2,HalfLife2EpisodeTwo,Left4Dead,H1Z1,TheForest,GrandTheftAutoV,AceofSpades,NoMoreRoominHell,SaintsRowTheThird,SeriousSam3BFE
10869571,HalfLife2EpisodeTwo,HalfLife2EpisodeOne,Portal2,CounterStrikeSource,Hammerwatch,NaturalSelection2,Portal,H1Z1,Warframe,CallofDutyBlackOps,TomClancysGhostReconPhantomsEU,Fallout3GameoftheYearEdition,BioShockInfinite,TeamFortress2,FEARExtractionPoint,Nosgoth,InsurgencyModernInfantryCombat,Arma2,MagickaWizardWars,FalloutNewVegas
10964000,Left4Dead,CounterStrikeGlobalOffensive,CounterStrikeConditionZero,KillingFloor,CallofDutyBlackOpsMultiplayer,AgeofEmpiresIIHDEdition,Unturned,HalfLife2,SeriousSam3BFE,HalfLife2EpisodeTwo,RocketLeague,Arma3,Fallout3GameoftheYearEdition,CallofDutyModernWarfare2,GarrysMod,SniperEliteV2,Hammerwatch,Terraria,Insurgency,Firefall
11024186,NaturalSelection2,EuroTruckSimulator2,TombRaider,H1Z1,HotlineMiami,BattleBlockTheater,CompanyofHeroesNewSteamVersion,SaintsRowTheThird,SidMeiersCivilizationV,HalfLife2EpisodeOne,DontStarve,Ricochet,SimCity4Deluxe,Spore,BioShock,DeusExHumanRevolution,GameDevTycoon,TomClancysGhostReconPhantomsEU,DeusExInvisibleWar,TorchlightII
11149819,Dota2,Unturned,CallofDutyModernWarfare3,Warhammer40000DawnofWarIIRetribution,Terraria,HalfLife2Deathmatch,AlienSwarm,Loadout,DontStarve,Robocraft,Warhammer40000SpaceMarine,NEOTOKYO,TheWalkingDead,KerbalSpaceProgram,CallofDutyBlackOps,DCUniverseOnline,PathofExile,FTLFasterThanLight,SidMeiersCivilizationV,Fallout4
11161178,Fallout3GameoftheYearEdition,HalfLife2Deathmatch,Unturned,NaturalSelection2,TheWitcher2AssassinsofKingsEnhancedEdition,Arma2,HalfLife2EpisodeOne,CompanyofHeroesNewSteamVersion,CounterStrikeConditionZero,AlanWake,Robocraft,MafiaII,Nosgoth,HalfLife2,EuroTruckSimulator2,CounterStrikeNexonZombies,StarWarsKnightsoftheOldRepublic,Darksiders,LANoire,DontStarve
11207650,CounterStrikeGlobalOffensive,CounterStrike,Rust,AgeofEmpiresIIICompleteCollection,Hammerwatch,SeriousSam3BFE,CounterStrikeSource,H1Z1,GarrysMod,Ricochet,TomClancysGhostReconPhantomsEU,FarCry3,DeathmatchClassic,Trove,AceofSpades,Terraria,BrickForce,GrandTheftAutoIV,Arma2OperationArrowhead,BattleBlockTheater
11300897,JustCause2,TheWitcher2AssassinsofKingsEnhancedEdition,CompanyofHeroesNewSteamVersion,Firefall,HalfLife2EpisodeOne,MedievalIITotalWar,RisingStormRedOrchestra2Multiplayer,FarCry3,Fallout3GameoftheYearEdition,CounterStrikeConditionZero,HalfLife2EpisodeTwo,Thief,DCUniverseOnline,JustCause2MultiplayerMod,RocketLeague,MountBladeWarband,Arma2,Sanctum2,DeusExHumanRevolutionDirectorsCut,WormsReloaded
11373749,Left4Dead,Borderlands,Borderlands2,PAYDAYTheHeist,FalloutNewVegas,Metro2033,ZombiePanicSource,HalfLifeDeathmatchSource,TheElderScrollsVSkyrim,DeusExHumanRevolution,TheBindingofIsaac,RAGE,JustCause2MultiplayerMod,MarkoftheNinja,DarksidersII,GrandTheftAutoIV,RedOrchestra2HeroesofStalingradSinglePlayer,POSTAL2,Spore,FINALFANTASYVII
11403772,CallofDutyBlackOps,Dishonored,AlanWake,CounterStrikeConditionZero,HalfLife2,TheWitcherEnhancedEdition,HeroesGenerals,NeedforSpeedHotPursuit,SniperEliteV2,Unturned,Fallout4,TheElderScrollsIVOblivion,TheWitcher2AssassinsofKingsEnhancedEdition,SuperMondayNightCombat,SMITE,CallofDutyBlackOpsMultiplayer,BioShockInfinite,SouthParkTheStickofTruth,NEOTOKYO,FreeStyle2StreetBasketball
11731710,ArmaColdWarAssault,OrcsMustDie2,HeroesGenerals,SakuraClicker,Neverwinter,StarWarsBattlefrontII,SidMeiersCivilizationV,Magicka,DeadSpace,NapoleonTotalWar,BatmanArkhamAsylumGOTYEdition,TeamFortressClassic,Arma2OperationArrowheadBetaObsolete,KerbalSpaceProgram,TeamFortress2,DeathmatchClassic,MountBladeWithFireandSword,TotalWarROMEIIEmperorEdition,Warhammer40000DawnofWarIIRetribution,TheWalkingDead
11794760,Unturned,NaturalSelection2,TheElderScrollsVSkyrim,CallofDutyBlackOps,Dishonored,CallofDutyModernWarfare3,MetroLastLight,GrandTheftAutoV,Warhammer40000DawnofWarIIRetribution,Audiosurf,APBReloaded,DayofDefeat,CompanyofHeroesNewSteamVersion,LIMBO,HalfLife2Deathmatch,PathofExile,GoatSimulator,SidMeiersCivilizationBeyondEarth,StarboundUnstable,Borderlands2
11807754,PAYDAYTheHeist,Left4Dead,TeamFortress2,AliensvsPredator,HalfLifeDeathmatchSource,TheElderScrollsIVOblivion,RisingStormRedOrchestra2Multiplayer,BatmanArkhamCityGOTY,MarvelHeroes2015,SakuraClicker,ChivalryMedievalWarfare,ZombiePanicSource,Metro2033,MarkoftheNinja,Awesomenauts,DCUniverseOnline,FINALFANTASYVII,Magicka,Crysis2MaximumEdition,Borderlands
11813637,PathofExile,DayZ,DungeonDefenders,Magicka,Warhammer40000DawnofWarIIRetribution,PAYDAY2,Ricochet,PlanetSide2,TitanQuest,PrisonArchitect,GrandTheftAutoV,TheForest,DeadIsland,GRID2,PatchtestingforChivalry,EmpireTotalWar,ClickerHeroes,TorchlightII,UberStrike,DirtyBomb
11940338,CallofDutyModernWarfare3,CounterStrikeSource,CallofDutyModernWarfare3Multiplayer,HeroesGenerals,CastleCrashers,CallofDutyBlackOps,Unturned,CallofDutyModernWarfare2,WarThunder,CallofDutyBlackOpsII,SidMeiersCivilizationBeyondEarth,DayofDefeatSource,Ricochet,SpiralKnights,CallofDutyModernWarfare2Multiplayer,CallofDutyBlackOpsIIMultiplayer,TheBindingofIsaac,HalfLifeDeathmatchSource,Spore,Borderlands2
11952990,ZombiePanicSource,DeadIslandEpidemic,HalfLife2Deathmatch,TheBindingofIsaacRebirth,Left4Dead,GarrysMod,ScribblenautsUnlimited,Borderlands,AdVentureCapitalist,SakuraClicker,DungeonDefenders,SourceFilmmaker,Trove,MassEffect,UberStrike,Spore,AgeofChivalry,HeroesGenerals,Metro2033,H1Z1
11970504,DeathmatchClassic,DontStarve,DeadIsland,AlienSwarm,DirtyBomb,RIFT,PlanetSide2,StarWarsBattlefrontII,WaroftheRoses,SidMeiersCivilizationV,StarTrekOnline,HAWKEN,MagicDuels,SuperMondayNightCombat,Warhammer40000DawnofWarIIChaosRising,HotlineMiami,RomeTotalWar,FTLFasterThanLight,StarWarsRepublicCommando,TeamFortress2
11978743,DontStarve,TeamFortress2,EmpireTotalWar,APBReloaded,StarTrekOnline,Spore,StarWarsBattlefrontII,Audiosurf,Portal,MedievalIITotalWar,PrisonArchitect,Warhammer40000DawnofWarIIRetribution,AmnesiaTheDarkDescent,Brawlhalla,Elsword,TheElderScrollsVSkyrim,MountBladeWarband,DeathmatchClassic,Warhammer40000DawnofWarIIChaosRising,SuperMeatBoy
12070928,Warframe,MortalKombatKompleteEdition,ChivalryMedievalWarfare,GunMonkeys,FEAR3,BioShockInfinite,MarvelHeroes2015,DungeonDefendersII,Hammerwatch,InsurgencyModernInfantryCombat,Dungeonland,Borderlands,MagicDuels,TitanQuest,DayofDefeat,Hitman2SilentAssassin,BattleBlockTheater,KillingFloor,TribesAscend,WolfensteinTheNewOrder
12130111,GoatSimulator,DontStarve,CallofDutyModernWarfare3Multiplayer,CallofDutyBlackOpsII,NoMoreRoominHell,Torchlight,ScribblenautsUnlimited,Trine2,TomClancysGhostReconPhantomsEU,StarWarsBattlefrontII,CastleCrashers,CrysisWars,KillingFloorModDefenceAlliance2,Ricochet,NEOTOKYO,BatmanArkhamAsylumGOTYEdition,SuperMondayNightCombat,Spore,BatmanArkhamCityGOTY,EmpireTotalWar
12144171,Left4Dead,PAYDAYTheHeist,JustCause2,AgeofChivalry,NaturalSelection2,StarWarsRepublicCommando,Metro2033,DeadIslandEpidemic,ZombiePanicSource,CompanyofHeroesNewSteamVersion,AmnesiaTheDarkDescent,Defiance,StarWarsBattlefrontII,Awesomenauts,Warhammer40000DawnofWarIIChaosRising,MedievalIITotalWar,APBReloaded,Enclave,MassEffect,RiseofIncarnates
12169570,CounterStrikeGlobalOffensive,CounterStrikeConditionZero,CallofDutyBlackOpsMultiplayer,CounterStrike,KillingFloor,Unturned,TheForest,Rust,AmericasArmyProvingGrounds,Hammerwatch,CastleCrashers,CallofDutyBlackOpsIIMultiplayer,Left4Dead,Arma3,H1Z1,AceofSpades,AgeofEmpiresIIHDEdition,Dota2,HalfLife2EpisodeTwo,HalfLife2
12195913,TeamFortress2,AliensvsPredator,StarWarsBattlefrontII,TeamFortressClassic,HalfLifeDeathmatchSource,PAYDAYTheHeist,XCOMEnemyUnknown,BatmanArkhamCityGOTY,Neverwinter,TheWitcherEnhancedEdition,DCUniverseOnline,RisingStormRedOrchestra2Multiplayer,Left4Dead,ScribblenautsUnlimited,SaintsRowIV,SpiralKnights,WarThunder,PAYDAY2,MarkoftheNinja,DarkSoulsPreparetoDieEdition
